title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
NBA 09: The Inside,PS2,Sports,Sony Computer Entertainment,SCE San Diego Studio,,0.17,0.08,,0.06,0.02,2008-10-07
Sports Party,NS,Sports,Ubisoft,Magic Pockets,,0.17,0.06,,0.1,0.01,2018-10-30
Itoi Shigesato no Bass Tsuri No. 1,SNES,Sports,Nintendo,HAL Laboratory,,0.17,,0.17,,,1997-02-21
Magical Starsign (US sales),DS,Role-Playing,Nintendo,Brownie Brown,,0.17,0.14,,0.02,,2006-10-23
Final Fantasy V,PS,Role-Playing,SquareSoft,SquareSoft,,0.17,,0.16,,0.01,1999-09-30
Hyperdimension Neptunia Victory,PS3,Role-Playing,Compile Heart,Idea Factory,,0.17,0.05,0.06,0.04,0.02,2013-03-21
Far East of Eden II: Manji Maru,PS2,Role-Playing,Hudson Soft,Hudson Soft,,0.17,,0.17,,,2003-10-02
Lost Kingdoms,GC,Role-Playing,Activision,From Software,7.3,0.17,0.1,0.04,0.02,0,2002-05-27
Time and Eternity,PS3,Role-Playing,NIS America,imageepoch Inc.,,0.17,0.06,0.06,0.03,0.02,2013-07-16
SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,Role-Playing,Square Enix,Square Enix,,0.17,,0.17,,,2009-09-17
Just Dance 2018,WiiU,Music,Ubisoft,Ubisoft Paris,,0.17,0.07,,0.09,0.01,2017-10-24
Naruto Shippuden: Ultimate Ninja 5,PS2,Fighting,Namco Bandai,CyberConnect2,,0.17,,0.17,,,2009-11-27
Backyard Wrestling: Don't Try This at Home,XB,Fighting,Eidos Interactive,Paradox Development,6,0.17,0.13,,0.04,0.01,2003-10-09
MXGP 3: The Official Motocross Videogame,PS4,Racing,Milestone,Milestone,,0.17,0.06,,0.08,0.03,2017-06-20
NickToons Racing,PS,Racing,Hasbro Interactive,Software Creations,,0.17,0.09,,0.06,0.01,2001-09-07
NASCAR '14,X360,Racing,Deep Silver,Eutechnyx,,0.17,0.15,,,0.02,2014-02-18
Race Pro,X360,Racing,Atari,SimBin,,0.17,0.06,,0.09,0.02,2009-02-17
Ar nosurge: Ode to an Unborn Star,PS3,Role-Playing,Tecmo Koei,Gust,,0.17,0.05,0.06,0.04,0.02,2014-09-23
Space Griffon VF-9,PS,Role-Playing,Atlus,Panther Software,,0.17,0.02,0.12,0.02,0.01,1995-11-25
Shrek Extra Large,GC,Platform,TDK Mediactive,Digital Illusions,3,0.17,0.13,,0.03,0,2002-10-31
Rugrats: Royal Ransom,GC,Platform,THQ,Avalanche Software,,0.17,0.13,,0.03,0,2002-11-27
Driver: San Francisco,Wii,Racing,Ubisoft,Ubisoft Reflections,7,0.17,0.06,,0.09,0.02,2011-09-06
F1 2011,3DS,Racing,Codemasters,Codemasters,5.5,0.17,0.07,,0.09,0.01,2011-12-06
FlatOut,XB,Racing,Empire Interactive,Bugbear Entertainment,,0.17,0.12,,0.04,0.01,2005-07-12
The King of Fighters '97,SAT,Fighting,SNK,SNK Corporation,,0.17,,0.17,,0,1998-03-26
The King of Fighters '95,PS,Fighting,Sony Computer Entertainment,SNK Corporation,,0.17,,0.16,,0.01,1996-08-31
Sword of the Samurai,PS2,Fighting,Unknown,LightWeight,,0.17,,0.17,,,
Horrid Henry: Missions of Mischief,DS,Adventure,SouthPeak Interactive,Asylum Entertainment,,0.17,0.01,,0.14,0.02,2010-08-31
Open Season,GC,Platform,Ubisoft,Ubisoft Montreal,6.4,0.17,0.13,,0.03,0,2006-09-19
Ice Age: Dawn of the Dinosaurs,PS2,Platform,Activision,Eurocom Entertainment Software,,0.17,0.08,,0.07,0.02,2009-06-30
Mega Man 11,PS4,Platform,Capcom,Capcom,,0.17,0.09,0.03,0.03,0.03,2018-10-02
Looney Tunes: Back in Action,GC,Platform,Warner Bros. Interactive,Warthog,,0.17,0.13,,0.03,0,2003-11-24
Tak: The Great Juju Challenge,GBA,Platform,THQ,WayForward,,0.17,0.12,,0.05,0,2005-09-19
Glover,PS,Platform,Atari,Interactive Studios Ltd.,,0.17,0.09,,0.06,0.01,1999-11-30
Monsters vs. Aliens,X360,Platform,Activision,Beenox,6.5,0.17,0.12,,0.03,0.02,2009-03-24
Matchbox Cross Town Heroes,GBA,Racing,THQ,Magellan Interactive,,0.17,0.12,,0.04,0,2002-07-14
MX World Tour Featuring Jamie Little,PS2,Racing,Crave Entertainment,Impulse Games,,0.17,0.08,,0.07,0.02,2005-04-06
